,City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
0,Zhigansk,RU,66.77,55.08,96,100,11.65
1,Iqaluit,CA,63.75,46.18,100,90,2.24
2,Viedma,AR,-40.81,49.13,61,100,13.53
3,Port Elizabeth,US,39.31,74.73,88,75,5.82
4,Komsomolskiy,RU,67.55,47.6,66,83,15.41
5,Albany,US,42.65,64.92,49,40,5.79
6,Saint-Francois,FR,46.42,61.02,82,0,4.7
7,Coihaique,CL,-45.58,38.14,93,75,1.61
8,Busselton,AU,-33.64,53.91,71,53,14.67
9,Hernani,ES,43.27,66.88,88,75,3.36
10,Punta Arenas,CL,-53.16,39.09,93,40,8.05
11,Punta Arenas,CL,-53.16,39.09,93,40,8.05
12,Mataura,NZ,-46.19,43.0,87,100,15.01
13,Busselton,AU,-33.64,53.91,71,53,14.67
14,Castro,CL,-42.48,50.0,100,75,21.92
15,Griffith,AU,-34.29,54.59,100,90,5.82
16,Saint-Philippe,CA,45.36,68.99,52,1,4.7
17,Palembang,ID,-2.99,75.08,95,23,3.69
18,Lavrentiya,RU,65.58,76.67,29,9,4.29
19,South Venice,US,27.05,79.79,78,1,5.66
20,Sinnamary,GF,5.38,81.08,78,46,11.32
21,Mataura,NZ,-46.19,43.0,87,100,15.01
22,Pauini,BR,-7.71,70.4,71,1,3.04
23,Busselton,AU,-33.64,53.91,71,53,14.67
24,Mahebourg,MU,-20.41,69.93,100,75,2.24
25,Kununurra,AU,-15.77,78.8,29,0,13.87
26,Geraldton,CA,49.72,66.2,52,75,4.7
27,Manaure,CO,11.78,86.0,66,0,4.7
28,New Norfolk,AU,-42.78,48.78,71,20,14.99
29,Hermanus,ZA,-34.42,57.67,74,39,7.0
30,Tuatapere,NZ,-46.13,43.0,87,100,15.01
31,Hilo,US,19.71,80.42,62,90,10.29
32,Tiksi,RU,71.64,46.43,72,97,8.43
33,Rikitea,PF,-23.12,71.9,82,100,39.19
34,Punta Arenas,CL,-53.16,39.09,93,40,8.05
35,Provideniya,RU,64.42,64.4,55,0,6.71
36,Severo-Kurilsk,RU,50.68,42.23,98,100,3.8
37,Mar del Plata,AR,-46.43,41.48,79,100,6.2
38,Cabo San Lucas,MX,22.89,84.36,47,90,11.41
39,Torbay,CA,47.66,57.42,93,20,2.24
40,Turayf,SA,31.68,73.4,56,0,13.87
41,Butaritari,KI,3.07,80.73,83,100,15.75
42,Avarua,CK,-21.21,77.0,69,99,14.99
43,Jamestown,AU,-33.21,49.86,82,17,4.23
44,Hermanus,ZA,-34.42,57.67,74,39,7.0
45,New Norfolk,AU,-42.78,48.78,71,20,14.99
46,Labuhan,ID,-2.54,73.1,75,78,1.32
47,San Cristobal,HN,14.68,67.9,95,98,6.29
48,Mitu,IR,36.2,60.88,60,0,4.03
49,Puerto Ayora,EC,-0.74,72.0,94,20,1.01
50,Puerto Palomas,US,31.78,84.2,30,40,26.4
51,Yellowknife,CA,62.45,50.0,81,90,14.99
52,Rio Grande,BR,-32.03,40.59,82,18,3.67
53,Norman Wells,CA,65.28,59.0,54,75,9.17
54,Ushuaia,AR,-54.81,39.2,92,20,5.82
55,Plettenberg Bay,ZA,-34.05,50.96,85,57,5.53
56,New Norfolk,AU,-42.78,48.78,71,20,14.99
57,Amapa,HN,15.09,75.2,94,75,9.17
58,Vaini,IN,15.34,73.4,88,75,13.87
59,Vaini,IN,15.34,73.4,88,75,13.87
60,Lebu,ET,8.96,57.35,88,100,4.0
61,Volovo,RU,53.55,49.86,97,58,3.62
62,Tamale,GH,9.4,78.47,83,95,12.37
63,Whithorn,JM,18.26,79.66,83,20,6.93
64,Chernyshevskiy,RU,63.01,67.74,61,59,8.55
65,Tilichiki,RU,60.47,61.6,58,88,2.3
66,Leningradskiy,RU,69.38,55.26,62,66,10.96
67,Puerto Ayora,EC,-0.74,72.0,94,20,1.01
68,Salamanca,MX,20.57,76.05,28,40,6.93
69,Busselton,AU,-33.64,53.91,71,53,14.67
70,Port Alfred,ZA,-33.59,57.99,71,0,5.01
71,Barrow,AR,-38.31,47.11,73,100,13.15
72,Paarl,ZA,-33.74,56.25,93,90,12.75
73,Mahebourg,MU,-20.41,69.93,100,75,2.24
74,Kez,RU,57.9,44.46,97,5,3.04
75,Port Elizabeth,US,39.31,74.73,88,75,5.82
76,Ushuaia,AR,-54.81,39.2,92,20,5.82
77,Busselton,AU,-33.64,53.91,71,53,14.67
78,Issenye,CM,12.51,83.29,58,26,10.49
79,Kapaa,US,22.08,82.36,66,1,13.87
80,Saint-Philippe,CA,45.36,68.99,52,1,4.7
81,Urucara,BR,-2.54,74.38,94,100,1.86
82,Mataura,NZ,-46.19,43.0,87,100,15.01
83,Busselton,AU,-33.64,53.91,71,53,14.67
84,Abu Zabad,SD,12.35,78.14,61,95,6.44
85,Ancud,CL,-41.87,50.0,100,75,21.92
86,Quatre Cocos,MU,-20.21,69.91,100,75,2.24
87,Imbituba,BR,-28.24,50.0,93,0,4.7
88,Hobart,AU,-42.88,48.54,71,20,14.99
89,Victoria,BN,5.28,79.03,94,75,7.18
90,Lebu,ET,8.96,57.35,88,100,4.0
91,Lata,IN,30.78,41.08,88,32,2.1
92,Punta Arenas,CL,-53.16,39.09,93,40,8.05
93,Maposeni,TZ,-10.58,58.34,86,58,1.72
94,Trinidad,BO,-14.83,62.28,61,0,3.6
95,Port Elizabeth,US,39.31,74.73,88,75,5.82
96,Yellowknife,CA,62.45,50.0,81,90,14.99
97,Oranjemund,ZA,-28.55,56.22,90,11,14.12
98,Rikitea,PF,-23.12,71.9,82,100,39.19
99,Leningradskiy,RU,69.38,55.26,62,66,10.96
100,Saskylakh,RU,71.97,55.34,67,96,6.15
101,Rikitea,PF,-23.12,71.9,82,100,39.19
102,Punta Arenas,CL,-53.16,39.09,93,40,8.05
103,Busselton,AU,-33.64,53.91,71,53,14.67
104,Mataura,NZ,-46.19,43.0,87,100,15.01
105,Hobart,AU,-42.88,48.54,71,20,14.99
106,Eureka,US,40.8,63.14,77,1,13.87
107,Mataura,NZ,-46.19,43.0,87,100,15.01
108,Busselton,AU,-33.64,53.91,71,53,14.67
109,Ushuaia,AR,-54.81,39.2,92,20,5.82
110,Barrow,AR,-38.31,47.11,73,100,13.15
111,Porto Walter,BR,-8.27,63.08,74,88,2.01
112,Vilhena,BR,-12.74,65.2,49,0,3.71
113,Ilulissat,GL,69.22,51.8,53,75,5.44
114,Cidreira,BR,-30.17,43.78,89,15,1.54
115,College,US,64.86,77.45,41,90,4.7
116,Koslan,RU,63.46,47.29,90,82,5.93
117,Bluff,AU,-23.58,61.44,82,100,12.5
118,Tefe,BR,-3.35,73.86,89,59,1.7
119,Punta Arenas,CL,-53.16,39.09,93,40,8.05
120,Awjilah,LY,29.14,75.26,61,0,10.98
121,Cidreira,BR,-30.17,43.78,89,15,1.54
122,Gizo,IL,31.8,73.17,83,40,6.93
123,Hermanus,ZA,-34.42,57.67,74,39,7.0
124,Xuddur,SO,4.12,72.31,80,100,13.96
125,Klaksvik,FO,62.23,48.2,100,59,8.05
126,East London,ZA,-33.02,49.67,78,0,8.1
127,Provideniya,RU,64.42,64.4,55,0,6.71
128,Hamilton,CA,43.26,67.86,63,20,5.82
129,Faanui,PF,-16.48,79.06,84,81,14.56
130,Rikitea,PF,-23.12,71.9,82,100,39.19
131,Provideniya,RU,64.42,64.4,55,0,6.71
132,Carnarvon,ZA,-30.97,42.63,80,32,7.78
133,Bluff,AU,-23.58,61.44,82,100,12.5
134,Moissala,TD,8.34,72.36,96,100,8.12
135,Vaini,IN,15.34,73.4,88,75,13.87
136,Ushuaia,AR,-54.81,39.2,92,20,5.82
137,NEDJO,ET,9.5,57.75,95,100,1.45
138,Butaritari,KI,3.07,80.73,83,100,15.75
